batch loss acc
0 1.3860 31.25
10 1.3492 37.50
20 1.4117 18.75
30 1.3711 43.75
40 1.3876 18.75
50 1.3528 31.25
60 1.1565 43.75
70 0.7858 62.50
80 0.9658 43.75
90 0.5376 75.00
100 0.6800 68.75
110 0.1097 100.00
120 0.0562 100.00
130 0.0213 100.00
140 0.0063 100.00
150 0.0062 100.00
160 0.0094 100.00
170 0.0020 100.00
180 0.0049 100.00
190 0.0007 100.00
200 0.0019 100.00
210 0.0008 100.00
220 0.0011 100.00
230 0.0008 100.00
240 0.0006 100.00
250 0.0012 100.00
260 0.0010 100.00
270 0.0021 100.00
280 0.0009 100.00
290 0.0003 100.00
300 0.0003 100.00
310 0.0006 100.00
320 0.0005 100.00
330 0.0002 100.00
340 0.0006 100.00
350 0.0003 100.00
360 0.0006 100.00
370 0.0002 100.00
380 0.0002 100.00
390 0.0001 100.00
400 0.0006 100.00
410 0.0001 100.00
420 0.0003 100.00
430 0.0002 100.00
440 0.0008 100.00
450 0.0001 100.00
460 0.0002 100.00
470 0.0002 100.00
480 0.0002 100.00
490 0.0001 100.00
500 0.0001 100.00
510 0.0004 100.00
520 0.0001 100.00
530 0.0001 100.00
