batch loss acc
0 1.3910 12.50
10 1.4208 12.50
20 1.3961 12.50
30 1.3854 12.50
40 1.3515 37.50
50 1.3522 25.00
60 1.3305 62.50
70 1.2943 37.50
80 1.1198 62.50
90 1.0061 50.00
100 1.3508 50.00
110 1.0217 62.50
120 0.5015 87.50
130 0.8613 37.50
140 0.9090 62.50
150 0.6240 62.50
160 0.3845 75.00
170 0.6846 62.50
180 0.3263 87.50
190 0.4156 87.50
200 0.1556 100.00
210 0.0131 100.00
220 0.0026 100.00
230 0.0011 100.00
240 0.0032 100.00
250 0.0013 100.00
260 0.0134 100.00
270 0.0016 100.00
280 0.0012 100.00
290 0.0013 100.00
300 0.0011 100.00
310 0.0006 100.00
320 0.0004 100.00
330 0.0014 100.00
340 0.0099 100.00
350 0.0009 100.00
360 0.0006 100.00
370 0.0004 100.00
380 0.0006 100.00
390 0.0051 100.00
400 0.0004 100.00
410 0.0009 100.00
420 0.0003 100.00
430 0.0009 100.00
440 0.0003 100.00
450 0.0004 100.00
460 0.0006 100.00
470 0.0001 100.00
480 0.0002 100.00
490 0.0002 100.00
500 0.0003 100.00
510 0.0009 100.00
520 0.0001 100.00
530 0.0003 100.00
540 0.0003 100.00
550 0.0003 100.00
560 0.0002 100.00
570 0.0005 100.00
580 0.0005 100.00
590 0.0005 100.00
600 0.0003 100.00
610 0.0001 100.00
620 0.0002 100.00
630 0.0002 100.00
640 0.0002 100.00
650 0.0001 100.00
660 0.0001 100.00
670 0.0001 100.00
680 0.0008 100.00
690 0.0005 100.00
700 0.0002 100.00
710 0.0005 100.00
720 0.0002 100.00
730 0.0006 100.00
740 0.0002 100.00
750 0.0002 100.00
760 0.0002 100.00
770 0.0003 100.00
780 0.0001 100.00
790 0.0002 100.00
800 0.0001 100.00
810 0.0001 100.00
820 0.0001 100.00
830 0.0002 100.00
840 0.0001 100.00
850 0.0004 100.00
860 0.0001 100.00
870 0.0002 100.00
880 0.0001 100.00
890 0.0004 100.00
900 0.0001 100.00
910 0.0001 100.00
920 0.0002 100.00
930 0.0001 100.00
940 0.0001 100.00
950 0.0001 100.00
960 0.0001 100.00
970 0.0001 100.00
980 0.0002 100.00
990 0.0000 100.00
1000 0.0001 100.00
1010 0.0001 100.00
1020 0.0002 100.00
1030 0.0001 100.00
1040 0.0001 100.00
1050 0.0000 100.00
1060 0.0000 100.00
1070 0.0001 100.00
