batch loss acc
0 0.0000 100.00
10 0.0000 100.00
20 0.0000 100.00
30 0.0000 100.00
40 0.0001 100.00
50 0.0000 100.00
60 0.0000 100.00
70 0.0000 100.00
80 0.0000 100.00
90 0.0000 100.00
100 0.0000 100.00
110 0.0001 100.00
120 0.0001 100.00
130 0.0000 100.00
140 0.0000 100.00
150 0.0000 100.00
160 0.0000 100.00
170 0.0000 100.00
180 0.0000 100.00
190 0.0001 100.00
200 0.0000 100.00
210 0.0000 100.00
220 0.0000 100.00
230 0.0000 100.00
240 0.0000 100.00
250 0.0001 100.00
260 0.0001 100.00
270 0.0001 100.00
280 0.0000 100.00
290 0.0000 100.00
300 0.0000 100.00
310 0.0000 100.00
320 0.0000 100.00
330 0.0000 100.00
340 0.0000 100.00
350 0.0001 100.00
360 0.0000 100.00
370 0.0000 100.00
380 0.0000 100.00
390 0.0000 100.00
400 0.0000 100.00
410 0.0001 100.00
420 0.0000 100.00
430 0.0000 100.00
440 0.0000 100.00
450 0.0000 100.00
460 0.0000 100.00
470 0.0000 100.00
480 0.0000 100.00
490 0.0000 100.00
500 0.0000 100.00
510 0.0000 100.00
520 0.0000 100.00
530 0.0000 100.00
